,City,Country,Latitude,Longitude,Date,Cloudiness,Humidity,Max Temp,Wind Speed
0,lata,PT,40.1629,-8.3327,1585239110.0,75.0,67.0,59.0,11.41
1,avarua,CK,-21.2078,-159.775,1585239300.0,20.0,94.0,73.4,2.24
2,kaitangata,NZ,-46.2817,169.8464,1585239073.0,100.0,78.0,48.99,1.99
3,rikitea,PF,-23.1203,-134.9692,1585239300.0,89.0,88.0,75.33,24.49
4,ushuaia,AR,-54.8,-68.3,1585239291.0,40.0,53.0,51.8,16.11
5,terra santa,BR,-2.1042,-56.4869,1585239263.0,100.0,66.0,86.67,4.25
6,mataura,NZ,-46.1927,168.8643,1585239375.0,98.0,79.0,48.99,3.18
7,upernavik,GL,72.7868,-56.1549,1585239268.0,100.0,72.0,-1.89,10.87
8,praia da vitoria,PT,38.7333,-27.0667,1585239263.0,40.0,58.0,59.0,8.55
9,barrow,US,71.2906,-156.7887,1585239370.0,1.0,75.0,-18.4,11.41
10,hobart,AU,-42.8794,147.3294,1585238943.0,54.0,81.0,48.99,3.36
11,jalu,LY,29.0331,21.5482,1585238703.0,0.0,36.0,77.31,24.09
12,sur,OM,22.5667,59.5289,1585238943.0,57.0,68.0,72.99,7.85
13,iqaluit,CA,63.7506,-68.5145,1585239371.0,90.0,78.0,10.0,5.82
14,tuktoyaktuk,CA,69.4541,-133.0374,1585239374.0,90.0,83.0,-7.6,14.99
15,portland,US,45.5234,-122.6762,1585239362.0,90.0,100.0,42.01,4.03
16,kavaratti,IN,10.5669,72.642,1585238731.0,53.0,66.0,83.97,3.91
17,kodiak,US,57.79,-152.4072,1585239370.0,1.0,86.0,42.8,8.05
19,baracoa,CU,20.3467,-74.4958,1585239282.0,32.0,71.0,76.59,5.48
20,coquimbo,CL,-29.9533,-71.3436,1585239295.0,90.0,77.0,64.4,8.05
21,suraabad,AZ,40.8192,49.4687,1585238716.0,0.0,87.0,48.2,6.93
22,colac,AU,-38.3333,143.5833,1585239068.0,53.0,98.0,55.0,1.01
23,thompson,CA,55.7435,-97.8558,1585239374.0,75.0,73.0,23.0,6.93
24,new norfolk,AU,-42.7826,147.0587,1585239063.0,97.0,81.0,48.99,3.36
25,goderich,CA,43.7501,-81.7165,1585239371.0,72.0,85.0,51.01,13.82
26,butaritari,KI,3.0707,172.7902,1585239059.0,100.0,84.0,80.19,25.66
27,hithadhoo,MV,-0.6,73.0833,1585238733.0,16.0,70.0,83.97,11.52
28,severo-kurilsk,RU,50.6789,156.125,1585239059.0,100.0,95.0,31.59,12.68
30,hasaki,JP,35.7333,140.8333,1585238958.0,0.0,93.0,44.6,2.24
31,alofi,NU,-19.0595,-169.9187,1585239300.0,40.0,100.0,66.2,1.12
32,busselton,AU,-33.65,115.3333,1585239059.0,23.0,26.0,77.0,10.0
33,nikolskoye,RU,59.7035,30.7861,1585238714.0,20.0,56.0,45.0,6.71
34,atuona,PF,-9.8,-139.0333,1585239300.0,33.0,67.0,82.71,10.02
35,fukue,JP,32.6881,128.8419,1585238957.0,100.0,88.0,67.41,27.98
36,taoudenni,ML,22.6783,-3.9836,1585239078.0,0.0,9.0,87.93,8.25
37,albany,US,42.6001,-73.9662,1585239344.0,20.0,49.0,51.01,6.93
38,qaanaaq,GL,77.484,-69.3632,1585239291.0,100.0,81.0,-11.07,4.92
39,arraial do cabo,BR,-22.9661,-42.0278,1585239277.0,40.0,69.0,78.8,8.05
40,shelburne,CA,44.0787,-80.2041,1585239374.0,90.0,71.0,52.0,8.05
41,saint anthony,US,45.0205,-93.218,1585239344.0,1.0,69.0,42.01,3.36
42,saint george,US,37.1041,-113.5841,1585239362.0,20.0,42.0,48.2,8.05
43,kitui,KE,-1.367,38.0106,1585238943.0,99.0,72.0,77.85,7.25
44,slyudyanka,RU,51.6594,103.7061,1585238957.0,100.0,91.0,4.95,4.7
45,najran,SA,17.4924,44.1277,1585238943.0,0.0,19.0,86.0,9.17
46,tahoua,NE,14.8888,5.2692,1585238959.0,11.0,10.0,98.6,13.87
47,belyy yar,RU,53.6039,91.3903,1585238734.0,0.0,46.0,28.4,4.47
